ProductID,ProductName,ProductBrand,BrandID,Price (USD),Description
10002833,VASTRAMAY Boys Navy Blue & Maroon Solid Kurta with Dhoti Pants & Jacket,VASTRAMAY,30,14.69,"Navy Blue and maroon solid kurta with dhoti pantsNavy Blue straight above knee kurta, has a mandarin collar, long sleeves, curved hemGold-toned solid dhoti pants, slip-on closureMaroon woven design nehru jacket, has a mandarin collar, sleeveless, one welt pocket"
10005915,Difference of Opinion Men Grey Melange Printed Round Neck T-shirt,Difference of Opinion,22,49.9,"Grey printed T-shirt, has round neck, long sleeves"
10002707,Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt,Campus Sutra,31,47.9,"White and blue colourblocked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10012433,FIDO DIDO Men White Printed Round Neck T-shirt,FIDO DIDO,32,44.9,"White and black printed T-shirt,has round neck,short sleeves"
10012699,MIAH Decor Beige & Black Indian Art Printed Set of 4 Ceramic Bowls,MIAH Decor,33,14.69,Type: BowlsPattern: PrintedFinish: Matte Material: Ceramic
10012851,JEWEL JUNCTION Gold-Toned Geometric Cufflinks,JEWEL JUNCTION,15,53.9,A pair of gold-toned and blue geometric printed cufflinksComes in a signature JEWEL JUNCTION case
10016755,Vishudh Women Off-White & Green Floral Print A-Line Dress,Vishudh,8,12.99,"Off-White and green printed woven A-line dress, has a mandarin collar, three-quarter sleeves, button closure,, flared hem"
10015159,Urban Dog Men Grey Printed Regular Fit Sports Shorts,Urban Dog,28,39.9,"Grey printed mid-rise sports shorts, has two pockets, a drawstring closure"
10013655,PARFAIT Plus Size Women Navy Blue  White Solid Low-Rise Bikini Brief PP303,PARFAIT,13,49.9,"Navy blue and white solid low rise bikini briefs, has an inner elasticated waistband with lace detail, double layered gusset"
10012821,SEJ by Nisha Gupta Set of 6 Yellow & Blue Printed Table Placemats,SEJ by Nisha Gupta,11,89.9,Set content: 6 table mats Shape: Rectangle Colour: Yellow and bluePattern: Printed Suitable For: 6 seater table Material: Cotton 
10006073,ID Men Brown Leather Loafers,ID,16,12.18,"A pair of square toe brown loafers, has regular styling, slip-on detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
10013491,PARFAIT Plus Size Red Solid Underwired Lightly Padded T-shirt Bra P5391,PARFAIT,13,16.09,Red solid medium-coverage T-shirt bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
10009773,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Mildly Distressed Stretchable Cropped Jeans,SPYKAR,3,12.14,"Blue medium wash 5-pocket mid-rise cropped jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops"
10009643,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,SPYKAR,3,89.9,"Blue dark wash 5-pocket mid-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
10015831,Raymond Men Blue Regular Fit Self Design Formal Shirt,Raymond,4,11.54,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
10014675,BuckleUp Women Multicoloured Printed Belt,BuckleUp,34,44.9,Multicoloured printed beltReversible: NoStretchable: NoSecured with a tangWarranty: 1 monthWarranty provided by brand/manufacturer
10012761,Peter England Men Black Briefs PIWBK9146012,Peter England,35,26.6,"A pair of black briefs, has an elasticated waistband and a panelled front with a double-layered contoured pouch"
10001887,AIGNER Men Platinum Eau De Toilette Perfume 100 ml,AIGNER,36,36.4,"NotesTop notes: Mandarin, bergamot, ozonic, orange, tamarind, cardamom, black pepper, clove tones and crisp mint leavesHeart notes: Spicy woody notesBase notes: Crystal amber, vanilla guaiacwood, olibanum, patchouli, sandalwood, moos"
10003179,Gini and Jony Girls Blue Solid Jacket,Gini and Jony,18,11.89,"Blue solid jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem"
10003821,Homesake Gold-Toned Solid Handcrafted Table Lamp with Shade,Homesake,10,18.36,Type: Handcrafted Table Lamp with ShadeColour: Gold-TonedPattern: SolidShape: FrustumShade material: FabricBase material: AluminiumSwitch Type: Toggle Button
10017017,Campus Sutra Men Black Solid Round Neck Faux Leather T-shirt,Campus Sutra,31,69.9,"Black solid T-shirt, has a round neck, and long sleeves with faux leather detail"
10012721,MIAH Decor Set of 3 Blue & Off-White Handpainted Kitchen Storage Jars with Lids,MIAH Decor,33,31.16,Type:  Set of 3 Blue & Off-White Handpainted Kitchen Storage Jars with LidsPattern: PrintedFinish: GlossyMaterial: Ceramic
10003341,Gini and Jony Girls Peach-Coloured Floral Embroidered Fit & Flare Dress,Gini and Jony,18,14.84,"Peach-Coloured net embroidered woven fit and flare dress with embellished detail, has a round neck, short sleeves, concealed zip closure, tie-up on the back, attached lining and flared hem"
10013417,SEJ by Nisha Gupta Blue & Green Printed Wooden Open Dry Bin,SEJ by Nisha Gupta,11,99.9,Set content: 1 open dry binColour: Blue and greenPattern: Floral printShape: Rectangular
10017923,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,5,85.9,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10013665,PARFAIT Plus Size Black Lace Non-Wired Non Padded Everyday Bra P5482,PARFAIT,13,16.79,Black lace full-coverage everyday braNon padded and non-wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: Side Bone
10017595,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,5,93.9,"Blue checked casual shirt, has a spread collar, short sleeves, button placket,  curved hem, one patch pocket"
10012769,SEJ by Nisha Gupta Set of 4 Multicoloured Printed Table Placemats,SEJ by Nisha Gupta,11,79.9,Set content: 4 table matsShape: RectangleColour:multicolouredPattern: PrintedSuitable For: 4 seater tableMaterial: Cotton
10007835,her by invictus Women Red Cushioned Loafers,her by invictus,25,12.99,"A pair of round closed toe red loafers with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"
10012881,JEWEL JUNCTION Gold-Toned & Black Round Cufflinks,JEWEL JUNCTION,15,53.9,A pair of gold-toned and black round solid cufflinks
10013617,PARFAIT Plus Size Black Solid Non-Wired Non Padded Sports Bra P5542,PARFAIT,13,17.49,Black solid full-coverage Sports bra with mesh detailNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
10007811,her by invictus Women Tan Brown Cushioned Slip-on Shoes,her by invictus,25,94.9,"A pair of pointed closed toe tan brown slip-on shoes with cushioned footbed and comfortable lining, has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"
10017427,DKNY Unisex Black Medium Trolley Bag,DKNY,1,133.2,"Black solid medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketOne exterior zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
10017899,Parx Men Yellow & Off-White Slim Fit Checked Casual Shirt,Parx,5,64.7,"Yellow and off-white checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10017369,Story@home Mauve & Grey Geometric 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,17,17.99,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Mauve and GreyPattern: Geometric
10017671,Parx Men Blue & Off-White Slim Fit Printed Casual Shirt,Parx,5,77.9,"Blue and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10007595,her by invictus Women Green Cushioned Slip-Ons,her by invictus,25,19.99,"A pair of pointed toe green slip-ons with cushioned footbed, has regular styling, slip-on detailSynthetic Suede upperFoam cushioned footbedTextured and patterned outsole"
10004343,Park Avenue Women Blue Skinny Fit Mid-Rise Clean Look Jeans,Park Avenue,37,56.9,"Blue dark wash five-pocket mid-rise jeans, clean look with light fade, has a button and zip closure, waistband with belt loops"
10007683,Roadster Women Black Textured Open Toe Flats,Roadster,38,16.99,"A pair of black open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
10007801,her by invictus Women Black Textured Cushioned Flats,her by invictus,25,94.4,"A pair of black pointed toe cushioned flats, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole"
10002181,U.S. Polo Assn. Denim Co. Men Navy Blue Solid Bomber Jacket,U.S. Polo Assn. Denim Co.,39,34.99,"Navy solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and attached lining with 3 inner pockets"
10012783,SEJ by Nisha Gupta Set of 6 Pink Printed Table Placemats,SEJ by Nisha Gupta,11,89.9,Set content: 6 table mats Shape: Rectangle Colour: Pink and multicoloured Pattern: Printed Suitable For: 6 seater table Material: Cotton 
10003387,Gini and Jony Girls Navy Blue Washed Denim Jacket,Gini and Jony,18,13.29,"Navy Blue washed denim jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem, and unlined"
10004053,Sweet Dreams Men Navy Blue Solid Straight-Fit Trackpants,Sweet Dreams,40,69.9,"Navy blue solid straight-fit trackpant, has an elasticated waistband with a drawstring fastening, two pockets"
10017211,Kazo Women Yellow Floral Print Shirt Dress,Kazo,41,13.45,"Yellow printed woven shirt dress, has a mandarin collar, long sleeves, button closure,, tulip hem"
10003299,Gini and Jony Boys Red & Grey Melange Solid Varsity Jacket with Applique Detail,Gini and Jony,18,64.9,"Red and Grey Melange solid varsity jacket, has a stand collar, snap button closure, long sleeves, straight hem, unlined"
10013569,PARFAIT Plus Size Beige Solid Underwired Lightly Padded Plunge Bra 2801,PARFAIT,13,11.89,Beige solid medium-coverage Plunge bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
10017835,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,5,83.9,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10017771,Parx Men Black & Red Slim Fit Checked Casual Shirt,Parx,5,57.7,"Black and red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10006019,ID Men Tan Brown Formal Leather Oxfords,ID,16,14.32,"A pair of tan brown square-toed formal oxfords, has central lace-upsLeather upperCushioned footbedTextured TPU outsole, has a stacked heelWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer"
10002825,Stylo Bug Girls Turquoise Blue A-Line Dress,Stylo Bug,42,69.8,"Turquoise Blue printed woven A-line dress, has a round neck, sleeveless, concealed zip closure,, flared hem"
10013703,PARFAIT Plus Size Women Black  Red Printed Lace Detail Hipster Brief 2805,PARFAIT,13,89.9,"Black and red printed low-rise hipster briefs with lace detail, has an inner elasticated waistband with lace detail, double layered gusset"
10012875,JEWEL JUNCTION Gold-Toned Geometric Cufflinks,JEWEL JUNCTION,15,53.9,A pair of gold-toned geometric textured cufflinksComes in a signature JEWEL JUNCTION case
10015997,Tokyo Talkies Women Black & Red Floral Print Fit and Flare Dress,Tokyo Talkies,24,49.9,"Black and Red printed woven fit and flare %S, has a round neck, three-quarter sleeves, concealed zip closure, and flared hem"
10013055,Sera Women Black Printed Loose Fit Regular Shorts,Sera,19,54.7,"Black and pink printed above knee length mid-rise-rise regular shorts, has two pockets"
10003213,Gini and Jony Boys Black & Grey Embroidered Regular Fit Shorts,Gini and Jony,18,83.9,"Black and grey embroidered, has a partially elasticated waistband, hook and bar closure, 4 pockets"
10014775,AccessHer Gold-Plated & Black Multistrand Head Chain,AccessHer,20,55.9,Gold-plated and black multistranded head chain Secured with insert closure
1000745,ahilya Sterling Silver Statement Ring,ahilya,29,38.75,"Sterling silver ring, has a circular detail with multiple teardrop-shaped patterns"
10009685,SPYKAR Women Blue Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,SPYKAR,3,12.14,"Blue medium wash 5-pocket high-rise cropped jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
10012429,FIDO DIDO Men Grey & Black Printed Colourblocked Polo Collar T-shirt,FIDO DIDO,32,59.9,"Black and grey colourblocked printed T-shirt, has a round neck, short sleeves"
10017723,Parx Men Pink Slim Fit Solid Casual Shirt,Parx,5,73.9,"Pink solid casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10017855,Parx Men Navy Blue Slim Fit Printed Casual Shirt,Parx,5,73.9,"Navy Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10013025,Sera Women White Self Design Top,Sera,19,71.4,"White self-design knitted regular  top, has a round neck, sleeveless, and concealed zip closure"
10006003,ID Men Grey Solid Thong Flip-Flops,ID,16,16.85,A pair of grey solid flip flopsSynthetic upper materialCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
10012841,JEWEL JUNCTION Silver-Toned Geometric Cufflinks,JEWEL JUNCTION,15,53.9,A pair of silver-toned geometric solid cufflinksComes in a signature JEWEL JUNCTION case
10017423,DKNY Unisex Gold & White Printed Cabin Trolley Bag,DKNY,1,144.0,"Gold and white printed cabin trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
10000599,Parx Men Khaki Slim Fit Solid Regular Trousers,Parx,5,83.9,"Khaki solid mid-rise regular trousers, has a button closure, four pockets"
10013641,PARFAIT Plus Size Blue Lace Underwired Lightly Padded Plunge Bra P5351,PARFAIT,13,17.49,Blue lace half-coverage Plunge bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
10000657,Lady Lyka Women Peach and Burgundy Pack of 2 Everyday Bras ENTIZER-11-PCH-WHN,Lady Lyka,43,51.0,Pack of 2Peach and Burgundy solid medium-coverage Everyday braNon Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
10005937,Difference of Opinion Men Olive Green Printed Round Neck T-shirt,Difference of Opinion,22,49.9,T-shirt
10003809,Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Homesake,10,17.32,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
10006069,ID Men Black Leather Formal Derbys,ID,16,16.27,"A pair of black round-toed formal derbys, has central lace-upsLeather upperCushioned footbedTextured PU outsole, has a stacked heelWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer"
10017501,Soie Brown Underwired Non Padded full coverage Everyday Bra FB-610CRIMSON,Soie,26,69.3,Brown full-coverage Everyday bra Non Padded and Flexible Underwired seamless three layered cupsCushioned front straps with lace and back closureSandwiched brushed layer for no show apex
10002079,GAS Women Navy Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,GAS,44,35.95,"Navy Blue dark wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
10003807,Homesake Gold-Toned & Navy Blue Solid Handcrafted Table Lamp with Shade,Homesake,10,18.9,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and navy bluePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
10004165,HIGHLANDER Men Navy Blue & Grey Slim Fit Striped Regular Trousers,HIGHLANDER,14,12.99,"Navy Blue and grey striped mid-rise regular trousers, has a button closure, four pockets"
10013269,WITH Men Black Slim Fit Solid Casual Shirt,WITH,45,68.4,"Black solid casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10006075,ID Men Black Leather Formal Derbys,ID,16,26.85,"A pair of black round-toed formal derbys, has central lace-upsLeather upper, has a textured detailCushioned footbedTextured PU outsole, has a stacked heelWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer"
10009637,SPYKAR Women White Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,SPYKAR,3,19.99,"White light wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
10017093,ZUSH Plus Size Women Black Regular Fit Mid-Rise Clean Look Jeans,ZUSH,46,12.99,"Black dark wash five-pocket mid-rise jeans, clean look with heavy fade, has a button and zip closure, waistband with belt loops"
10017355,Story@home Mustard Floral 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,17,11.99,Set content: 1 King bedsheet with 2 pillow coversQuality: SuperfineThread count: 210Colour: MustardPattern: Floral
